{'control': [60, 70, 0.1, 0.01, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 7560], [[128, 57, 1, 0], 8930]]}
{'control': [60, 70, 0.1, 0.01, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 22982], [[128, 57, 1, 0], 25750]]}
{'control': [60, 70, 0.1, 0.01, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 40282], [[128, 57, 1, 0], 44638]]}
{'control': [60, 70, 0.1, 0.015, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 57317], [[128, 57, 14, 0], 58113]]}
{'control': [60, 70, 0.1, 0.015, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 67967], [[128, 57, 1, 0], 69861]]}
{'control': [60, 70, 0.1, 0.015, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 79963], [[128, 57, 1, 0], 83005]]}
{'control': [60, 70, 0.1, 0.02, 0.02, 0.05, 0], 'midi': [[[144, 57, 1, 0], 92285], [[128, 57, 20, 0], 92969]]}
{'control': [60, 70, 0.1, 0.02, 0.03, 0.05, 0], 'midi': [[[144, 57, 1, 0], 100709], [[128, 57, 5, 0], 102222]]}
{'control': [60, 70, 0.1, 0.02, 0.04, 0.05, 0], 'midi': [[[144, 57, 1, 0], 110171], [[128, 57, 1, 0], 112512]]}
{'control': [60, 70, 0.1, 0.025, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 119988], [[128, 57, 26, 0], 120649]]}
{'control': [60, 70, 0.1, 0.025, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 127111], [[128, 57, 10, 0], 128458]]}
{'control': [60, 70, 0.1, 0.025, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 135074], [[128, 57, 1, 0], 137053]]}
{'control': [60, 70, 0.1, 0.03, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 143417], [[128, 57, 32, 0], 144055]]}
{'control': [60, 70, 0.1, 0.03, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 149729], [[128, 57, 15, 0], 150915]]}
{'control': [60, 70, 0.1, 0.03, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 156710], [[128, 57, 7, 0], 158460]]}
{'control': [60, 70, 0.1, 0.035, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 164078], [[128, 57, 33, 0], 164734]]}
{'control': [60, 70, 0.1, 0.035, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 169826], [[128, 57, 21, 0], 170928]]}
{'control': [60, 70, 0.1, 0.035, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 176146], [[128, 57, 11, 0], 177742]]}
{'control': [60, 70, 0.1, 0.04, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 182847], [[128, 57, 34, 0], 183510]]}
{'control': [60, 70, 0.1, 0.04, 0.03, 0.05, 0], 'midi': [[[144, 57, 3, 0], 188174], [[128, 57, 25, 0], 189235]]}
{'control': [60, 70, 0.1, 0.04, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 194042], [[128, 57, 14, 0], 195530]]}
{'control': [60, 70, 0.1, 0.045000000000000005, 0.02, 0.05, 0], 'midi': [[[144, 57, 2, 0], 200269], [[128, 57, 33, 0], 200933]]}
{'control': [60, 70, 0.1, 0.045000000000000005, 0.03, 0.05, 0], 'midi': [[[144, 57, 2, 0], 205299], [[128, 57, 26, 0], 206333]]}
{'control': [60, 70, 0.1, 0.045000000000000005, 0.04, 0.05, 0], 'midi': [[[144, 57, 2, 0], 210818], [[128, 57, 17, 0], 212228]]}
